order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,order_month
35,Frank,Tablet,3.0,750.0,2024-02-17,Unknown,2250.0,2.0
36,Frank,Phone,3.0,750.0,2024-01-19,West,2250.0,1.0
37,Frank,Monitor,2.0,500.0,2024-01-04,East,1000.0,1.0
38,Charlie,Laptop,2.0,500.0,2024-02-04,West,1000.0,2.0
39,Diana,Tablet,2.0,500.0,2024-03-04,Unknown,1000.0,3.0
40,Diana,Monitor,2.0,500.0,2024-02-18,South,1000.0,2.0
41,Alice,Monitor,1.0,250.0,2024-01-17,West,250.0,1.0
42,Charlie,Phone,2.0,500.0,2024-02-13,South,1000.0,2.0
43,Eve,Tablet,1.0,500.0,2024-04-01,East,500.0,4.0
44,Charlie,Tablet,2.0,250.0,2024-01-30,North,500.0,1.0
45,Eve,Laptop,1.0,500.0,2024-04-02,East,500.0,4.0
46,Alice,Tablet,2.0,250.0,2024-02-15,West,500.0,2.0
47,Bob,Laptop,2.0,500.0,2024-04-26,South,1000.0,4.0
48,Diana,Tablet,2.0,500.0,2024-01-06,South,1000.0,1.0
49,Alice,Phone,2.0,500.0,2024-04-08,Unknown,1000.0,4.0
50,Diana,Tablet,3.0,250.0,2024-04-14,South,750.0,4.0
51,Frank,Laptop,2.0,250.0,2024-02-06,Unknown,500.0,2.0
52,Bob,Laptop,3.0,500.0,2024-01-24,North,1500.0,1.0
53,Bob,Phone,1.0,750.0,2024-04-02,West,750.0,4.0
54,Alice,Tablet,1.0,750.0,2024-04-22,Unknown,750.0,4.0
55,Bob,Tablet,1.0,250.0,2024-02-15,North,250.0,2.0
56,Eve,Phone,2.0,250.0,2024-02-22,South,500.0,2.0
57,Bob,Tablet,1.0,750.0,2024-04-04,South,750.0,4.0
58,Diana,Tablet,3.0,750.0,2024-04-08,North,2250.0,4.0
59,Diana,Laptop,1.0,500.0,2024-02-29,South,500.0,2.0
60,Diana,Tablet,2.0,500.0,2024-04-06,North,1000.0,4.0
61,Diana,Tablet,2.0,750.0,2024-04-25,Unknown,1500.0,4.0
62,Eve,Phone,2.0,500.0,2024-03-03,Unknown,1000.0,3.0
63,Charlie,Phone,2.0,500.0,2024-03-25,North,1000.0,3.0
64,Frank,Monitor,3.0,500.0,2024-02-01,Unknown,1500.0,2.0
65,Alice,Laptop,1.0,500.0,2024-03-27,Unknown,500.0,3.0
66,Diana,Tablet,2.0,250.0,2024-02-02,Unknown,500.0,2.0
67,Bob,Tablet,1.0,500.0,2024-03-07,East,500.0,3.0
68,Diana,Monitor,1.0,500.0,2024-01-18,West,500.0,1.0
69,Bob,Tablet,3.0,750.0,2024-01-25,South,2250.0,1.0
70,Frank,Laptop,2.0,250.0,2024-04-15,East,500.0,4.0
71,Frank,Monitor,2.0,500.0,2024-04-04,Unknown,1000.0,4.0
72,Frank,Laptop,1.0,500.0,2024-02-23,North,500.0,2.0
73,Bob,Monitor,2.0,500.0,2024-02-27,Unknown,1000.0,2.0
74,Diana,Monitor,2.0,500.0,2024-03-07,West,1000.0,3.0
75,Frank,Phone,2.0,500.0,2024-04-13,Unknown,1000.0,4.0
76,Eve,Laptop,2.0,500.0,2024-02-15,North,1000.0,2.0
77,Bob,Tablet,2.0,750.0,2024-01-24,West,1500.0,1.0
78,Bob,Tablet,3.0,500.0,2024-04-23,Unknown,1500.0,4.0
79,Diana,Laptop,2.0,500.0,2024-02-01,West,1000.0,2.0
80,Bob,Tablet,3.0,250.0,2024-02-16,South,750.0,2.0
81,Bob,Tablet,3.0,750.0,2024-03-26,South,2250.0,3.0
82,Frank,Laptop,2.0,250.0,2024-01-23,Unknown,500.0,1.0
83,Diana,Monitor,3.0,250.0,2024-03-06,West,750.0,3.0
84,Frank,Laptop,1.0,500.0,2024-01-27,North,500.0,1.0
85,Frank,Monitor,3.0,500.0,2024-04-15,Unknown,1500.0,4.0
86,Diana,Tablet,2.0,500.0,2024-01-02,South,1000.0,1.0
87,Alice,Tablet,2.0,500.0,2024-03-30,South,1000.0,3.0
88,Frank,Tablet,1.0,500.0,2024-01-17,Unknown,500.0,1.0
89,Eve,Phone,2.0,500.0,2024-04-13,West,1000.0,4.0
90,Eve,Monitor,2.0,750.0,2024-02-02,South,1500.0,2.0
91,Bob,Phone,2.0,500.0,2024-01-09,West,1000.0,1.0
92,Eve,Phone,2.0,250.0,2024-02-12,South,500.0,2.0
93,Bob,Laptop,3.0,250.0,2024-04-27,South,750.0,4.0
94,Alice,Phone,3.0,500.0,2024-02-17,East,1500.0,2.0
95,Diana,Laptop,2.0,250.0,2024-02-08,South,500.0,2.0
96,Diana,Laptop,2.0,500.0,2024-04-02,North,1000.0,4.0
97,Diana,Phone,1.0,250.0,2024-02-11,Unknown,250.0,2.0
98,Eve,Monitor,1.0,500.0,2024-04-28,Unknown,500.0,4.0
99,Alice,Monitor,2.0,250.0,2024-01-26,West,500.0,1.0
100,Eve,Monitor,3.0,500.0,2024-04-08,South,1500.0,4.0
